trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
54,False,"{'a': 0.8, 'e': 0.16406989291322727}",25,8,14.45032681633667,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
55,False,"{'a': 0.8, 'e': 0.15866911254433833}",20,16,6.611365101121855,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.8, 'e': 0.15344611268151948}",30,16,11.580731174989335,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
57,False,"{'a': 0.8, 'e': 0.14839504122448527}",25,19,12.22829856058512,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.8, 'e': 0.14351023870980617}",30,18,23.11000210026548,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.8, 'e': 0.13878623196977374}",25,19,13.253960731307837,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.8, 'e': 0.13421772800000006}",25,9,25.602988151721373,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.8, 'e': 0.12979960802888113}",20,10,-2.697830680347341,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
62,False,"{'a': 0.8, 'e': 0.12552692178227887}",25,9,-11.533357504688443,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
63,False,"{'a': 0.8, 'e': 0.12139488193699577}",20,11,18.461064550763048,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.8, 'e': 0.1173988587568279}",35,19,16.083184779013916,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.8, 'e': 0.11353437490518564}",25,15,22.072015036831402,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.8, 'e': 0.10979710042847043}",20,16,8.825100533565694,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.8, 'e': 0.10618284790458647}",25,12,19.997088084463407,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.8, 'e': 0.10268756775115147}",20,9,19.818036473447698,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.8, 'e': 0.09930734368814996}",20,11,5.445445164251137,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
70,False,"{'a': 0.8, 'e': 0.09603838834994466}",20,6,24.36302671184173,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.8, 'e': 0.09287703904172984}",25,11,-9.651101865633526,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
72,False,"{'a': 0.8, 'e': 0.08981975363567189}",35,18,27.704807831112213,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.8, 'e': 0.08686310660213885}",30,21,9.20019544507275,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
